,subnetwork,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,2,12,452.6703038361333,4896.354009970441,"404.49846615550246, 460.15952385180935",0.0,,
0,2,13,411.21858489523066,7498.19049319713,"404.49846615550246, 460.15952385180935",0.0,,
0,2,14,409.5760682794377,7567.364031842947,"404.49846615550246, 460.15952385180935",0.0,,
0,2,15,410.20398341252405,4670.973780178745,"404.49846615550246, 460.15952385180935",0.0,,
0,2,16,408.7494728535885,6085.554071803367,"404.49846615550246, 460.15952385180935",0.0,,
0,2,17,411.45571011532013,5013.389642991716,"404.49846615550246, 460.15952385180935",0.0,,
0,2,18,415.42749654318715,4614.699180690963,"404.49846615550246, 460.15952385180935",0.0,,
0,2,19,409.14318915667667,6620.402537167734,"404.49846615550246, 460.15952385180935",0.0,,
0,2,20,411.1469531048826,8511.102560484482,"404.49846615550246, 460.15952385180935",0.0,,
0,2,21,407.6647083865966,4707.539634150866,"404.49846615550246, 460.15952385180935",0.0,,
0,2,22,408.0993430799298,8301.930051131943,"404.49846615550246, 460.15952385180935",0.0,,
0,2,23,408.4640750034187,7225.372712100575,"404.49846615550246, 460.15952385180935",0.0,,
0,2,24,412.2381627884047,7597.494312635465,"404.49846615550246, 460.15952385180935",0.0,,
0,2,25,412.7512309677765,5588.689151282382,"404.49846615550246, 460.15952385180935",0.0,,
0,2,26,414.9737120142973,6069.759110125294,"404.49846615550246, 460.15952385180935",0.0,,
0,2,27,414.41019744183785,4937.862414285252,"404.49846615550246, 460.15952385180935",0.0,,
0,2,28,408.03746455728356,9083.400215411435,"404.49846615550246, 460.15952385180935",0.0,,
0,2,29,412.5761273445815,5695.847951890621,"404.49846615550246, 460.15952385180935",0.0,,
0,2,30,412.0212604803098,5730.345340316889,"404.49846615550246, 460.15952385180935",0.0,,
0,2,31,411.74929513535153,7247.631837338096,"404.49846615550246, 460.15952385180935",0.0,,
0,2,32,623.9817245423529,5069.892470857762,"571.4816392444233, 629.1426969407302",2.0,,
0,2,33,412.1686064122708,3508.081677420066,"404.49846615550246, 460.15952385180935",0.0,,
0,2,34,412.08581761631683,6991.169246743276,"404.49846615550246, 460.15952385180935",0.0,,
0,2,35,412.1590839615807,3582.0126572728527,"404.49846615550246, 460.15952385180935",0.0,,
0,2,36,410.3086380884007,4851.853692148473,"404.49846615550246, 460.15952385180935",0.0,,
0,2,37,411.51581796126766,7250.471341751356,"404.49846615550246, 460.15952385180935",0.0,,
0,2,38,409.7325521043405,5831.84654988133,"404.49846615550246, 460.15952385180935",0.0,,
0,2,39,408.635871078322,7104.002535482411,"404.49846615550246, 460.15952385180935",0.0,,
0,2,40,529.3673630084362,5453.3655774182525,"515.8205815481163, 571.4816392444233",1.0,,
0,2,41,412.2760532237611,6105.194030112995,"404.49846615550246, 460.15952385180935",0.0,,
0,2,42,413.71702423779175,6881.32750193269,"404.49846615550246, 460.15952385180935",0.0,,
0,2,43,416.51578831807836,5928.352357313138,"404.49846615550246, 460.15952385180935",0.0,,
0,2,44,409.6807529126251,7548.333574480592,"404.49846615550246, 460.15952385180935",0.0,,
0,2,45,409.328280350683,7762.094898726177,"404.49846615550246, 460.15952385180935",0.0,,
0,2,46,412.3636619975459,7132.378513062936,"404.49846615550246, 460.15952385180935",0.0,,
0,2,47,413.243553513232,8895.450024977159,"404.49846615550246, 460.15952385180935",0.0,,
0,2,48,414.3089234677981,7177.92184206041,"404.49846615550246, 460.15952385180935",0.0,,
0,2,49,412.42857978454845,5206.655012038321,"404.49846615550246, 460.15952385180935",0.0,,
0,2,50,407.6594385538797,7274.489281453923,"404.49846615550246, 460.15952385180935",0.0,,
0,2,51,410.67108164216324,7241.332981332843,"404.49846615550246, 460.15952385180935",0.0,,
0,2,52,412.43748391894854,4880.76242429586,"404.49846615550246, 460.15952385180935",0.0,,
0,2,53,412.55933424607133,4568.866406256356,"404.49846615550246, 460.15952385180935",0.0,,
0,2,54,409.21084950610117,8827.686150178411,"404.49846615550246, 460.15952385180935",0.0,,
0,2,55,411.6747205197952,7701.3741000502005,"404.49846615550246, 460.15952385180935",0.0,,
0,2,56,412.375926165868,7529.847191914693,"404.49846615550246, 460.15952385180935",0.0,,
0,2,57,410.8851857758735,3720.983280659616,"404.49846615550246, 460.15952385180935",0.0,,
0,2,58,412.7736143318518,5729.628984152791,"404.49846615550246, 460.15952385180935",0.0,,
0,2,59,409.9669176510951,4421.695002157686,"404.49846615550246, 460.15952385180935",0.0,,
0,2,0,409.3304293272203,6445.177417825186,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,1,411.7590544773546,6643.812930647235,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,2,415.61143808263336,4818.828559180358,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,3,411.3096785344225,7061.929599954045,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,4,409.0952593495897,4671.234405194181,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,5,411.1746424156785,7711.183695512307,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,6,411.00744092784026,4636.630451018831,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,7,411.3208262530889,7403.800409927069,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,8,411.602237004051,6372.442166044867,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,9,408.99936066883,3745.538774709314,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,10,413.4608277136486,9190.155154792054,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,11,410.5935402993689,5488.31425210048,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,12,452.6703038361333,4896.354009970441,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,13,411.21858489523066,7498.19049319713,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,14,409.5760682794377,7567.364031842947,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,15,410.20398341252405,4670.973780178745,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,16,408.7494728535885,6085.554071803367,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,17,411.45571011532013,5013.389642991716,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,18,415.42749654318715,4614.699180690963,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,19,409.14318915667667,6620.402537167734,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,20,411.1469531048826,8511.102560484482,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,21,407.6647083865966,4707.539634150866,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,22,408.0993430799298,8301.930051131943,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,23,408.4640750034187,7225.372712100575,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,24,412.2381627884047,7597.494312635465,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,25,412.7512309677765,5588.689151282382,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,26,414.9737120142973,6069.759110125294,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,27,414.41019744183785,4937.862414285252,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,28,408.03746455728356,9083.400215411435,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,29,412.5761273445815,5695.847951890621,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
