,subnetwork,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,1,101,103.20163806254844,4004.6913060587713,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,102,101.56143250659701,3803.184592518608,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,103,102.76232321615076,2069.04916045613,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,104,100.20891541674987,4491.0396658877125,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,105,101.45042821686023,5384.210446198873,"77.32703659730274, 103.10271546307031",3.0,"5238.791702007985, 6985.055602677313",3.0
0,1,106,100.84108073383129,2003.8670709746227,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,107,100.4042142610963,3370.54626238321,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,108,100.96538680888727,1935.7110671021421,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,109,105.9191283758755,4213.707222075815,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,110,103.99039037739153,4743.388321432757,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,111,100.16665591561872,4623.490608061286,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,112,103.02046562147359,3679.574705109398,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,113,103.4566275853873,3786.010221260264,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,114,100.69784602628133,3788.2718458613112,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,115,102.06163115226012,5066.533682885488,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,116,100.74698776300342,3714.3581852456864,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,117,100.4138485428799,2463.6103247008364,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,118,101.56055562028875,3173.317474620017,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,119,100.3843019984714,4017.768896325451,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,120,104.91044667579851,2671.905806224764,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,121,104.4471593434746,2843.1246144209967,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,122,104.45974660531311,2124.68328156166,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,123,100.4042142610963,2758.6309780044207,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,124,100.4120522370357,1904.5335609274716,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,125,102.4690955010778,2489.408567506566,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,126,100.6947642435124,3849.4555887192073,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
