,subnetwork,sample_run,TravelTime,TotalCost
0,3,0,64.93864892489364,3906.5766342661523
0,3,1,64.92490251365741,3275.8784581553628
0,3,2,64.88353396519464,1706.7082959917666
0,3,3,63.23416827866049,2142.3676415244213
0,3,4,64.94140433728613,1307.036787063884
0,3,5,57.98859456737076,2733.3053477659228
0,3,6,58.79969091171476,3005.170317752205
0,3,7,57.51836583596145,3767.017948546496
0,3,8,58.93030097639727,2327.2039934693566
0,3,9,58.227634249242456,1370.7870194992615
0,3,10,65.5058739783572,1906.0470660227516
0,3,11,64.98827297809099,2577.4255742267455
0,3,12,56.92756297710812,3668.844302896312
0,3,13,79.90558254542618,3400.1510072014526
0,3,14,57.90225364334764,3616.3418286429637
0,3,15,57.662646534540215,3231.3455851090876
0,3,16,57.51836583596145,5328.129270477616
0,3,17,57.84642978033204,1472.9016763382556
0,3,18,64.96265504311852,1242.7237544500138
0,3,19,65.54893339164656,2869.947229975181
0,3,20,64.99272025084946,1188.094566931357
0,3,21,58.93030097639727,3668.844302896312
0,3,22,58.08426138889711,3113.8341371096562
0,3,23,57.82849631790505,3617.297285042919
0,3,24,58.507499976007644,2873.3599118450356
0,3,25,64.88353396519464,2183.8853384189747
0,3,26,58.835337122608664,3300.1618431924985
0,3,27,58.47524183922148,1825.9337872048181
0,3,28,57.626479646796426,2531.1121371029603
0,3,29,57.87671407427628,2333.5920340690036
0,3,30,57.92353715246515,3105.967273043278
0,3,31,57.654589107999534,3391.0085168117976
0,3,32,58.33633617980339,3417.3270842102374
0,3,33,77.57871723343189,2782.8982106980484
0,3,34,57.505064000598274,3862.4936279276217
0,3,35,64.56118623770932,2548.585508737361
0,3,36,63.23416827866049,2284.299230610708
0,3,37,57.904589686369725,2236.404688654335
0,3,38,57.823575074939065,2419.0178319886295
0,3,39,57.51836583596145,4044.3785111776842
0,3,40,65.43830302295245,2458.0168133171474
0,3,41,58.85130503791516,3262.243820288853
0,3,42,64.96872903421375,2616.5362841277065
0,3,43,64.94484304364055,3231.3455851090876
0,3,44,58.3003870501573,3231.3455851090876
0,3,45,57.65193760916145,4044.3785111776842
0,3,46,57.796303660797605,3101.9454210352187
0,3,47,63.23416827866049,3858.375280187186
0,3,48,79.53588578613048,2918.224987720029
0,3,49,0.8134146981842967,3462.740960553007
0,3,50,57.79686430979317,3608.436831519419
0,3,51,57.656457273897715,3469.580807222278
0,3,52,57.626479646796426,2866.333272107109
0,3,53,57.66483613035711,2306.850889323445
0,3,54,57.65253734085961,3547.785158953688
0,3,55,65.27580748450151,1729.6592372806206
0,3,56,57.659480948674336,5353.193263649655
0,3,57,64.99038878576157,5328.129270477616
0,3,58,58.46268358893405,3396.6287714734267
0,3,59,57.5077921497414,4044.3785111776842
