,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,133,909.4148131873544,15344.218366772204,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,134,888.6486122230928,23393.187399879087,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,135,906.2912036331077,18011.174441382645,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,136,896.899959021677,19939.032163098564,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,137,896.783478350735,18413.189776363448,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,138,905.1340967592787,19170.139970141445,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,139,910.9903752022294,19145.930153787103,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,140,897.7954955406046,16918.43438593268,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,141,895.8612094164741,25234.279144976317,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,142,899.5699093137839,19968.315618408153,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,143,898.8766519042098,16124.015763339763,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,144,907.509622723265,16176.185468756677,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,145,896.3729777941203,22763.741565177956,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,146,894.5627052553568,14767.522659299788,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,147,888.4989585442232,20094.916942390264,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,148,904.2561492184727,21773.95964474704,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,149,908.2464947475356,19805.76342622127,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,150,897.3099928159188,15903.226963246565,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,151,901.4578835810862,17087.154611900307,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,152,893.7540178173523,17884.200753649842,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,153,907.8753077620364,22245.79086857165,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,154,900.1367462407486,16980.824188744755,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,155,884.6775045161345,21256.469360454867,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,156,894.6198917230827,18575.91066598362,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,157,905.8742452940462,17999.707799877906,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,158,893.5942004497546,20016.930957919216,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,159,906.8883763723215,17980.22179865889,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,160,899.9292832361938,21496.36708959513,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,161,890.3718482597915,23197.60987853857,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,162,901.7582915407735,20610.091206977406,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,163,894.1551234399572,17948.777413977183,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,164,896.4035168700455,19036.220259543672,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,165,905.6811486605211,16705.419573918018,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,166,902.8413161210319,13960.220420583977,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,167,891.6474080326666,22010.66830594363,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,168,892.5455925828571,19334.341088128673,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,169,903.21559381425,19518.603207151682,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,170,903.9306313111041,17649.037104901097,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,171,903.8485386920638,18623.25660965805,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,172,899.2050579111491,20425.48918047225,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,173,909.3465230772431,16829.212669178403,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,174,899.3871637454542,23553.673305839697,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,175,900.7906290404397,19048.666004543647,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,176,888.2229870849927,20355.870794560888,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,177,906.8594367972048,22262.211094033122,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,178,895.9971534884284,17904.955229264913,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,179,905.4659356416755,18077.93909458633,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,180,901.4127595082991,21020.455860603164,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,181,888.0512521790337,18805.994141161325,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,182,903.9300672145021,18946.65311863871,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,183,910.3249190505505,20529.221845177923,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,184,905.7794731342499,19839.002373322062,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,185,901.1183962309374,20324.51400529254,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,186,893.3283567706723,19492.593104483087,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,187,907.9545322482268,20954.37364554441,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,188,907.8781953917273,16127.16792329056,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,189,892.8502302969277,16068.261343980643,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,190,908.6312589203503,25092.101015527605,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,191,915.2235139067079,23972.33982902082,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,192,901.2141327802944,18267.97601867168,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,193,891.9615209523498,16322.44970258336,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,194,894.2450824374818,24180.600669441705,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,195,900.3807992965491,20419.500622083302,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,196,901.3473189292047,16935.663979238947,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,197,899.0696578162813,16467.159307373473,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,198,905.0707584312281,21512.149096500263,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,199,889.7932610154121,16793.807381830888,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,200,892.2462246060797,21427.156955812265,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,201,900.4760580637303,18246.762840462998,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,202,898.5227702262946,21486.33703386012,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,203,898.9743958938411,21663.001889000632,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,204,897.1568384115407,17574.768465246045,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,205,895.3982019048085,16507.82489268636,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,206,889.1214214942025,19189.194969671968,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,207,898.6923232191282,18262.774647975617,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
