,subnet,sample_run,Edge,Avail,TotalCost
0,1,6,40,0.7528539713072415,1515.442397621117
0,1,7,40,0.7877612267925898,2290.0
0,1,8,40,0.7458061068135502,1321.0167322954308
0,1,9,40,0.7891982216986616,617.9799622436296
0,1,10,40,0.7873425904165334,1533.3702459862855
0,1,11,40,0.6238921491663417,1003.5294043454335
0,1,12,40,0.7670816956738601,1376.6620879044704
0,1,13,40,0.7773923247747447,2177.2426690664115
0,1,14,40,0.75338003724967,2226.6449712411786
0,1,15,40,0.7213049559975108,1799.0426734719317
0,1,16,40,0.7843006083528541,968.0636725227115
0,1,17,40,0.7297677516782759,1788.1246764866937
0,1,18,40,0.7890052149763539,1007.3965173813992
0,1,19,40,0.7705185803847835,1349.5389497659364
0,1,20,40,0.7651373951270143,2290.0
0,1,21,40,0.7554864415572324,1532.4147089963576
0,1,22,40,0.7896791681478268,1001.142595757983
0,1,23,40,0.743693998931945,1770.0
0,1,24,40,0.7896791681478268,1597.5814088594877
0,1,25,40,0.7832431088560273,1041.337936613915
0,1,26,40,0.781760140788115,854.4817115620913
0,1,27,40,0.7896791681478268,2131.0446372582855
0,1,28,40,0.7869021191161482,1527.8790324441238
0,1,29,40,0.7644390689390801,1152.4745954775492
0,1,30,40,0.7852058086844915,1788.840493670755
0,1,31,40,0.7730639465893313,934.4778240209962
0,1,32,40,0.7662392253259812,2752.354592506922
0,1,33,40,0.7715538664838634,1450.2826198771124
0,1,34,40,0.743023779543504,1109.089650049507
0,1,35,40,0.7840946955425261,1342.323851575596
0,1,36,40,0.788364457710094,1924.7453907794559
0,1,37,40,0.7441984112375472,2124.9449379431753
0,1,38,40,0.7821270793969236,1783.0255781504618
0,1,39,40,0.7568873856707296,1787.1461355679808
0,1,40,40,0.7662429267972737,1081.697323049297
0,1,41,40,0.7671475595295839,1269.4604525939133
0,1,42,40,0.783381272447794,1002.3468361202692
0,1,43,40,0.7486682826876189,1141.4883343019922
0,1,44,40,0.7777277437719837,2351.388734466425
0,1,45,40,0.7874937814380436,2770.0
0,1,46,40,0.7829855566801434,2104.402014033694
0,1,47,40,0.7836664617816828,1159.9806564283124
